date,Firm,Sample,Turnout,Spanish_Socialist_Workers%27_Party,People%27s_Party_(Spain),"Plural_Left_(Spain,_2011)",Convergence_and_Union,Basque_Nationalist_Party,"Union,_Progress_and_Democracy",Republican_Left_of_Catalonia,Galician_Nationalist_Bloc,Canarian_Coalition,Amaiur,Lead
2010-03-11,GAD/COPE[200][269][270],500,NA,36.6,42.5,4.9,3.5,1.1,4.1,1.1,0.8,0.7,NA,5.9
2010-03-05,Celeste-Tel[204],1100,NA,38.5,42.6,5.4,3.4,1.2,3.1,0.8,0.9,0.9,NA,4.1
2010-03-05,Celeste-Tel/Terra[271],1357,71.1,38.1,43,5.8,3.3,1.1,3.3,1.1,0.9,0.8,NA,4.9
2010-03-04,Metroscopia/El País[272][273],500,75.3,37.3,43.4,NA,NA,NA,NA,NA,NA,NA,NA,6.1
2010-02-26,NC Report/La Razón[274],1000,70.7,37.6,43.6,5.6,3.4,1.2,3.7,1.1,0.8,0.7,NA,6.0
2010-02-26,InvyMark/laSexta[268],NA,NA,40.5,44.6,NA,NA,NA,NA,NA,NA,NA,NA,4.1
2010-02-23,TNS Demoscopia/Antena 3[275][276],1008,NA,34.5,41.4,6,3,1,4.1,0.9,0.6,NA,NA,6.9
2010-02-11,Simple Lógica[277][278],1007,68.9,35.7,46.3,5.3,2.8,0.9,3.9,NA,NA,NA,NA,10.6
2010-02-10,GAD/COPE[279][280],671,NA,36.3,42.9,5,3.2,1.1,3.9,1.1,0.8,0.7,NA,6.6
2010-02-06,NC Report/La Razón[281],1000,70.7,37.9,43.4,5.4,3.4,1.2,3.8,1.1,NA,NA,NA,5.5
2010-02-05,InvyMark/laSexta[268],NA,NA,41,44.5,NA,NA,NA,NA,NA,NA,NA,NA,3.5
2010-02-05,Celeste-Tel[282],1100,NA,38.1,42.7,5.8,3.5,1.1,3.6,0.9,1.1,1,NA,4.6
2010-02-04,Metroscopia/El País[283][284],500,75.3,37.5,43.4,NA,NA,NA,NA,NA,NA,NA,NA,5.9
2010-02-04,Sigma Dos/El Mundo[285][286][287],700,NA,37.7,43.5,4.5,3.1,1.2,2,1.2,NA,NA,NA,5.8
2010-01-27,Obradoiro de Socioloxía/Público[288],3206,NA,37.8,40.4,5.2,2.8,1.2,5.1,1.1,1.2,NA,NA,2.6
2010-01-26,TNS Demoscopia/Antena 3[252][289],NA,NA,35,41.2,5.4,2.9,1.1,3.6,0.9,0.7,NA,NA,6.2
2010-01-21,CIS[290][291],2477,NA,36.2,40,6.1,3.7,1,4.4,1.3,0.8,0.9,NA,3.8
2010-01-15,GAD/COPE[292][293],NA,NA,38.8,42.6,4.1,3.4,NA,3.1,NA,NA,NA,NA,3.8
2010-01-15,InvyMark/laSexta[268],NA,NA,41.2,44.3,NA,NA,NA,NA,NA,NA,NA,NA,3.1
2010-01-11,Celeste-Tel[282],1100,NA,38.5,42.6,5.5,3.4,1.1,3.4,0.9,0.9,0.9,NA,4.1
2010-01-08,NC Report/La Razón[294],NA,71,38.2,43.3,5.1,3.4,1.2,3.6,1.1,NA,NA,NA,5.1
2010-01-07,Metroscopia/El País[295][296],504,75.3,38.2,41.7,NA,NA,NA,NA,NA,NA,NA,NA,3.5
2009-12-29,Noxa/La Vanguardia[297],807,NA,39.4,41.3,4.7,3.1,1.1,4.3,0.6,NA,NA,NA,1.9
2009-12-29,Sigma Dos/El Mundo[298][299][300],1000,NA,38.5,43.6,4.7,2.7,1.4,2.4,1.4,NA,NA,NA,5.1
2009-12-25,InvyMark/laSexta[301],NA,NA,41.2,44.1,NA,NA,NA,NA,NA,NA,NA,NA,2.9
2009-12-18,DYM/ABC[302],1038,NA,38.1,43.3,4.7,3.2,1.2,2.6,1,NA,NA,NA,5.2
2009-12-17,GESOP/El Periódico[303][304][305],1500,NA,36.5,42,4.8,3.3,1,4.8,1,NA,NA,NA,5.5
2009-12-15,TNS Demoscopia/Antena 3[252][306],NA,NA,35.9,41.1,5.2,2.8,1.2,3.4,1,0.8,NA,NA,5.2
2009-12-11,GAD/COPE[307],NA,NA,37.9,42.4,NA,NA,NA,NA,NA,NA,NA,NA,4.5
2009-12-07,Celeste-Tel[282],1100,NA,38.6,42.4,5.3,3.4,1.1,3.2,0.9,0.9,0.9,NA,3.8
2009-12-03,Metroscopia/El País[308][309],732,75.3,38.1,41.5,NA,NA,NA,NA,NA,NA,NA,NA,3.4
2009-12-02,Obradoiro de Socioloxía/Público[310],3201,NA,38,39.6,5,3,1.1,5.7,1.3,1,NA,NA,1.6
2009-11-29,Consultores CSA/La Verdad[311],NA,NA,37.7,41,NA,NA,NA,NA,NA,NA,NA,NA,3.3
2009-11-26,NC Report/La Razón[312],1000,71.1,38.3,43,5.2,3.4,1.2,3.6,1.1,NA,NA,NA,4.7
2009-11-17,TNS Demoscopia/Antena 3[252][313],NA,NA,36,42.2,5.3,2.8,0.9,3.3,0.8,0.6,NA,NA,6.2
2009-11-11,GAD/COPE[314][315],650,NA,38.1,42.2,NA,NA,NA,NA,NA,NA,NA,NA,4.1
2009-11-06,Celeste-Tel[282],1100,NA,38.8,42.4,5.3,3.4,1.1,3.4,0.9,0.9,0.9,NA,3.6
2009-11-05,Sigma Dos/El Mundo[316][317][318],1000,NA,39.4,42.6,4.9,3,1.1,2.9,1,NA,NA,NA,3.2
2009-11-04,Obradoiro de Socioloxía/Público[319],3204,NA,36.9,40.5,4.7,3.2,1.4,5.3,1.1,1.4,NA,NA,3.6
2009-10-30,NC Report/La Razón[320],1000,71.6,39.7,41.9,5.1,3.4,1.2,3.4,1,NA,NA,NA,2.2
2009-10-29,Metroscopia/El País[321][322],501,75.3,39.9,40.3,NA,NA,NA,NA,NA,NA,NA,NA,0.4
2009-10-25,Ipsos/Expansión[323],1000,66,40,42,NA,NA,NA,1.4,NA,NA,NA,NA,2.0
2009-10-21,Simple Lógica[324],1025,66.5,37.4,41.8,3.6,3.3,1,3.5,NA,NA,NA,NA,4.4
2009-10-17,Intercampo/GETS[325][326],1739,NA,39.5,44.7,4.1,3.2,1.1,2.7,1.1,NA,NA,NA,5.2
2009-10-17,Intercampo/GETS[325][326],1739,NA,38.7,45.2,4.3,3.3,0.9,2.8,1.1,NA,NA,NA,6.5
2009-10-15,Metroscopia/El País[327],500,75.3,39,41.3,NA,NA,NA,NA,NA,NA,NA,NA,2.3
2009-10-14,CIS[328][329],2478,NA,37.7,41,4.7,3.7,1.3,3.7,1.5,0.8,0.5,NA,3.3
2009-10-07,Celeste-Tel[282],1100,NA,39.6,42,5.2,3.4,1.1,3.2,0.9,0.9,0.9,NA,2.4
2009-10-07,Obradoiro de Socioloxía/Público[330],3202,NA,38,43,4.4,2.2,0.8,5.2,0.8,1,NA,NA,5.0
2009-10-06,TNS Demoscopia/Antena 3[331][332],1003,NA,36.8,41.4,5.3,3,1.1,3.2,1,0.6,NA,NA,4.6
2009-10-02,NC Report/La Razón[333],1000,71.6,39.8,42.1,5,3.4,1.2,3.2,1,NA,NA,NA,2.3
2009-10-01,Metroscopia/El País[334][335],501,75.3,38,41.6,NA,NA,NA,NA,NA,NA,NA,NA,3.6
2009-10-01,Noxa/La Vanguardia[336],1000,NA,38,42.4,5.5,2.5,0.9,4.4,1.4,NA,NA,NA,4.4
2009-09-25,InvyMark/laSexta[337],NA,NA,41,43.8,NA,NA,NA,NA,NA,NA,NA,NA,2.8
2009-09-11,InvyMark/laSexta[338],NA,NA,41.1,43.6,NA,NA,NA,NA,NA,NA,NA,NA,2.5
2009-09-07,Celeste-Tel[282],1100,NA,39.9,41.8,5.1,3.3,1.1,3.1,0.9,0.9,0.9,NA,1.9
2009-09-03,NC Report/La Razón[339],1000,71.7,39.9,42,4.9,3.3,1.2,3.2,1.1,NA,NA,NA,2.1
2009-07-13,CIS[340][341][342],2482,NA,39,40.2,4.6,3.4,1.2,3.2,1.6,0.8,0.5,NA,1.2
2009-07-10,InvyMark/laSexta[343],NA,NA,41.7,42.9,NA,NA,NA,NA,NA,NA,NA,NA,1.1
2009-07-09,Metroscopia/El País[344][345],500,75.3,38.7,41.8,NA,NA,NA,NA,NA,NA,NA,NA,3.1
2009-07-07,Celeste-Tel[282],1100,NA,40.1,41.7,5.1,3.2,1.2,3.1,1,0.9,0.9,NA,1.6
2009-07-03,NC Report/La Razón[346],1000,71.7,40.3,42.1,4.6,3.3,1.3,3.1,1,0.8,0.7,NA,1.8
2009-06-26,InvyMark/laSexta[347][348],NA,NA,41.8,42.8,NA,NA,NA,NA,NA,NA,NA,NA,1.0
2009-06-23,TNS Demoscopia/Antena 3[252][349],NA,NA,39.2,41.7,4.4,3.1,1.1,4,1.1,0.6,NA,NA,2.5
2009-06-17,Obradoiro de Socioloxía/Público[350],3200,NA,40.3,41.8,3.9,2.8,0.8,3.7,0.9,0.9,NA,NA,1.5
2009-06-12,InvyMark/laSexta[351],NA,NA,41.5,42.9,NA,NA,NA,NA,NA,NA,NA,NA,1.4
2009-06-09,Metroscopia/El País[352][353],500,75.3,38.9,40.9,NA,NA,NA,NA,NA,NA,NA,NA,2.0
2009-06-08,NC Report/La Razón[354],1000,71.8,40.2,41.8,4.8,3.3,1.2,3,1.1,0.8,0.7,NA,1.6
2009-06-07,2009 EP election,NA,44.9,38.8,42.1,3.7,2.8,1.3,2.9,1.3,0.7,0.6,0.9,3.3
2009-06-05,Celeste-Tel[282],1100,NA,39.7,42,5.3,3.3,1.2,3.3,1,0.9,0.9,NA,2.3
2009-05-28,Sigma Dos/El Mundo[355][356][357],1000,NA,40.6,42.8,3.4,NA,NA,2.6,NA,NA,NA,NA,2.2
2009-05-28,DYM/ABC[358],1040,NA,38.7,40.9,3.3,NA,NA,2.2,NA,NA,NA,NA,2.2
2009-05-28,Noxa/La Vanguardia[359],1000,NA,40.8,38,4.2,4,1.4,4.8,0.9,NA,NA,NA,2.8
2009-05-22,InvyMark/laSexta[351][360],NA,NA,41.6,42,NA,NA,NA,NA,NA,NA,NA,NA,0.4
2009-05-20,Obradoiro de Socioloxía/Público[361],3206,NA,41.1,42.2,3.7,2.6,1,3.5,1,0.8,NA,NA,1.1
2009-05-15,GESOP/El Periódico[362][363][364],1500,NA,38.7,42.3,3.9,3,0.8,3.3,0.8,NA,NA,NA,3.6
2009-05-08,Celeste-Tel[282],1100,NA,39.9,41.1,5.5,3.3,1.2,3.4,1.1,1,0.9,NA,1.2
2009-04-30,NC Report/La Razón[365],1000,70.3,39.1,41.5,5.6,3.5,1.2,3.3,1.1,0.8,0.8,NA,2.4
2009-04-28,Metroscopia/El País[366][367],505,75.3,39.6,40.8,NA,NA,NA,NA,NA,NA,NA,NA,1.2
2009-04-22,Obradoiro de Socioloxía/Público[368],3204,NA,40,42.3,3.8,2.8,1.1,3.5,1,0.6,NA,NA,2.3
2009-04-21,CIS[369][370][342],2481,NA,40.8,40,4.5,3.4,1,2.9,1.5,0.6,NA,NA,0.8
2009-04-08,Sigma Dos/El Mundo[371][372],900,NA,37.9,42.3,5,NA,NA,4.4,NA,NA,NA,NA,4.4
2009-04-07,Celeste-Tel[282],1100,NA,40.1,40.9,5.4,3.3,1.2,3.3,1.1,1,0.9,NA,0.8
2009-03-28,NC Report/La Razón[373],NA,71.2,39.9,40.8,5.5,3.4,1.2,3.3,1.1,0.9,0.8,NA,0.9
2009-03-27,InvyMark/laSexta[374],NA,NA,41.9,41.6,NA,NA,NA,NA,NA,NA,NA,NA,0.3
2009-03-24,TNS Demoscopia/Antena 3[252][375],NA,NA,41.2,40.5,4.8,3,1,3.6,1.1,0.5,NA,NA,0.7
2009-03-18,Obradoiro de Socioloxía/Público[376],3205,NA,39.2,40.7,5,3.2,1,3.7,0.9,0.5,NA,NA,1.5
2009-03-06,Celeste-Tel[282],1100,NA,40.4,40.7,5.3,3.1,1.3,3.2,1.2,1.1,0.9,NA,0.3
2009-03-04,NC Report/La Razón[377],NA,NA,40.4,40.2,NA,NA,NA,NA,NA,NA,NA,NA,0.2
2009-02-23,Simple Lógica[378],1012,68.5,43.2,37.6,3.7,2.8,1.1,3.2,NA,NA,NA,NA,5.6
2009-02-13,GESOP/El Periódico[379][380][381],800,NA,41,38.5,4.8,2.8,1.1,4.4,1,NA,NA,NA,2.5
2009-02-06,Celeste-Tel[282],1100,NA,40.6,40.3,5.2,3.2,1.4,3.3,1.2,1.1,0.9,NA,0.3
2009-01-30,InvyMark/laSexta[382],NA,NA,42.7,41,NA,NA,NA,NA,NA,NA,NA,NA,1.7
2009-01-30,NC Report/La Razón[383],1000,70.5,41.7,38.5,5.3,3.4,1.3,3.6,1.1,0.9,0.8,NA,3.2
2009-01-20,Obradoiro de Socioloxía/Público[384],1600,NA,40.2,36.7,5,2.7,1,6,1,0.8,NA,NA,3.5
2009-01-19,CIS[385][386][342],2482,NA,39.7,39.5,4.5,3.4,1.1,3.1,1.3,1,NA,NA,0.2
2009-01-16,InvyMark/laSexta[382],NA,NA,42.2,41.2,NA,NA,NA,NA,NA,NA,NA,NA,1.0
2009-01-09,Celeste-Tel[282],1100,NA,40.8,40.6,5.2,3.1,1.3,3.1,1.2,1,0.9,NA,0.2
2009-01-02,NC Report/La Razón[387],1000,71.5,41.6,39.6,4.9,3.3,1.3,3.2,1.1,0.9,0.8,NA,2.0
2008-12-26,Sigma Dos/El Mundo[388][389],1000,NA,42.6,39.7,3.4,3.2,1.4,3.1,1,NA,NA,NA,2.9
2008-12-19,Noxa/La Vanguardia[390],1000,NA,40.7,37.5,4.8,3.3,1.6,5.8,1,NA,NA,NA,3.2
2008-12-19,InvyMark/laSexta[391],NA,NA,41.8,41.5,NA,NA,NA,NA,NA,NA,NA,NA,0.3
2008-12-18,Obradoiro de Socioloxía/Público[392],3198,NA,41.3,38.9,4.5,2.6,1.2,3.5,1.2,1.1,NA,NA,2.4
2008-12-05,Celeste-Tel[282],1100,NA,40.9,40.5,5.1,3.2,1.3,2.7,1,0.9,0.9,NA,0.4
2008-11-28,InvyMark/laSexta[391],NA,NA,42.3,40.8,NA,NA,NA,NA,NA,NA,NA,NA,1.5
2008-11-27,NC Report/La Razón[393],1000,71.2,39.8,41.5,4.9,3.3,1.3,2.8,1,0.9,0.8,NA,1.7
2008-11-20,DYM/ABC[394],1012,NA,41.9,42.2,3.7,NA,NA,NA,NA,NA,NA,NA,0.3
2008-11-20,Obradoiro de Socioloxía/Público[395],3203,NA,41.3,39.2,4,3.2,1.2,4,1.2,1,NA,NA,2.1
2008-11-07,Celeste-Tel[282],1100,NA,41.2,40.9,5,3.1,1.2,2.7,0.9,0.9,0.8,NA,0.3
2008-10-30,NC Report/La Razón[396][397],1000,71.7,41,41.1,4.8,3.2,1.3,2.7,1,NA,NA,NA,0.1
2008-10-24,GESOP/El Periódico[398][399][400],1500,NA,40.2,41.3,4.8,2.9,1.1,2.9,1.1,NA,NA,NA,1.1
2008-10-23,Obradoiro de Socioloxía/Público[401],3203,NA,39.4,39.4,3.4,3.8,1,4.2,1.3,0.9,NA,NA,Tie
2008-10-10,TNS Demoscopia/Antena 3[402][403],NA,NA,40.7,42.4,NA,NA,NA,NA,NA,NA,NA,NA,1.7
2008-10-09,CIS[404][405],2481,NA,39.7,39.7,4.3,3.8,1.1,2.9,1.3,1,NA,NA,Tie
2008-10-08,Intercampo/GETS[406][407],1729,NA,40.4,41.2,4,2.7,1.6,3.7,1.2,NA,NA,NA,0.8
2008-10-08,Intercampo/GETS[406][407],1729,NA,40.5,41.3,4.1,2.7,1.7,3.1,1.1,NA,NA,NA,0.8
2008-10-07,Celeste-Tel[282],1100,NA,41.4,40.6,5,3,1.2,2.8,1,0.9,0.7,NA,0.8
2008-10-07,Simple Lógica[408],1006,72.5,39.7,39.4,4.6,2.8,1.6,2.8,NA,NA,NA,NA,0.3
2008-10-03,InvyMark/laSexta[409],NA,NA,41.7,41.2,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2008-10-02,NC Report/La Razón[410][411],1000,71.5,41.2,41,4.6,3.2,1.3,2.7,0.9,NA,NA,NA,0.2
2008-09-25,Obradoiro de Socioloxía/Público[412],3171,NA,38.6,39.4,4.5,3.2,1.3,2.8,1,1.2,NA,NA,0.8
2008-09-18,Noxa/La Vanguardia[413],1000,NA,40.6,39.6,5.2,3.1,1.2,4.2,1.2,NA,NA,NA,1.0
2008-09-05,Celeste-Tel[282],1100,NA,41.4,40.5,5.2,3.3,1.3,2.8,1.2,1.1,0.9,NA,0.9
2008-08-07,Celeste-Tel[282],1100,NA,41.8,40.2,5.1,3.3,1.3,2.7,1.3,1.1,0.9,NA,1.6
2008-07-13,CIS[414][415],2468,NA,39.5,39.3,4.8,3.3,1.1,2.5,1.5,0.9,NA,NA,0.2
2008-07-10,Metroscopia/El País[416][417],703,NA,41.2,41,NA,NA,NA,NA,NA,NA,NA,NA,0.2
2008-07-07,Celeste-Tel[282],1100,NA,42.4,40.3,4.4,3.3,1.2,2.7,1.3,1.1,0.8,NA,2.1
2008-06-27,InvyMark/laSexta[418],NA,NA,43.6,40,NA,NA,NA,NA,NA,NA,NA,NA,3.6
2008-06-26,Opina/Cadena SER[419][420],1000,NA,42,41,5,3,1,2,1,NA,NA,NA,1.0
2008-06-15,ASEP[a][421],1203,71.3,41.8,39.6,4.6,NA,NA,1.7,NA,NA,NA,NA,2.2
2008-06-12,Opina/Cadena SER[422][423],1000,NA,40,40,4,3,1.3,2,0.9,NA,NA,NA,Tie
2008-06-12,Sigma Dos/El Mundo[424][425][426],1000,NA,41.3,40.2,4.8,3.2,1.2,2.7,0.9,NA,NA,NA,1.1
2008-06-06,Celeste-Tel[282],1100,NA,43.4,39.6,4.3,3.4,1.3,2.7,1,1,0.9,NA,3.8
2008-05-30,GESOP/El Periódico[427][428],1500,NA,45,37.3,4.2,2.8,1.2,2.5,1,NA,NA,NA,7.7
2008-05-18,ASEP[a][429],1209,73.6,43.8,39.3,4.3,NA,NA,1.5,NA,NA,NA,NA,4.5
2008-05-08,Celeste-Tel[282],1100,NA,44.5,39.4,4.2,3.3,1.2,2.6,0.9,0.9,0.8,NA,5.1
2008-04-30,CIS[430][431],2459,NA,43.6,37.6,3.9,3.2,1.5,2.6,1.6,1.1,NA,NA,6.0
2008-04-20,ASEP[a][432],1204,76.6,44.1,39.6,4,NA,NA,1.3,NA,NA,NA,NA,4.5
2008-04-07,Celeste-Tel[282],1100,NA,44.9,39.5,3.9,3,1.2,2.4,1,0.9,0.7,NA,5.4
2008-03-09,2008 general election,NA,73.8,43.9,39.9,3.8,3,1.2,1.2,1.2,0.8,0.7,NA,4.0
